"","x"
"2575","NCAPH"
"2576","AC106845.1"
"2577","LRRC36"
"2578","NIN"
"2579","ATP8B1"
"2580","IQGAP3"
"2581","AC244131.2"
"2582","LRBA"
"2583","USP53"
"2584","NR4A2"
"2585","TLK1"
"2586","AC053527.2"
"2587","EAF2"
"2588","AC092640.1"
"2589","FRG1-DT"
"2590","FRMD5"
"2591","LINC02646"
"2592","AC011632.1"
"2593","EZR"
"2594","SP110"
"2595","ANXA4"
"2596","STK17A"
"2597","AL162717.1"
"2598","TTC23"
"2599","MAPK4"
"2600","TESK2"
"2601","CRIM1"
"2602","AC007681.1"
"2603","CEP126"
"2604","AC026353.1"
"2605","LGMN"
"2606","AL121987.1"
"2607","GCSAML"
"2608","LINC02438"
"2609","DNAI2"
"2610","TNFRSF11A"
"2611","AF127936.1"
"2612","IL18R1"
"2613","AC024230.1"
"2614","COX7B2"
"2615","GIMAP4"
"2616","AL691420.1"
"2617","AC112481.2"
"2618","AC021491.2"
"2619","AC005144.1"
"2620","AP001042.1"
"2621","CCNJL"
"2622","SNHG27"
"2623","GPR63"
"2624","TMPO"
"2625","LIN9"
"2626","AP002812.2"
"2627","ARRDC3-AS1"
"2628","AL603840.1"
"2629","CHST8"
"2630","SLC4A10"
"2631","RFTN1"
"2632","ANXA2"
"2633","AL136366.1"
"2634","KCNJ8"
"2635","GCH1"
"2636","ITPRIPL2"
"2637","IFNG-AS1"
"2638","TPPP3"
"2639","CLIC4"
"2640","SCGB2B2"
"2641","ADCY9"
"2642","RHBDL3"
"2643","AL139340.1"
"2644","ZC3H12C"
"2645","PPM1D"
"2646","PDK3"
"2647","TRPC3"
"2648","AC002451.1"
"2649","SLC47A2"
"2650","SLX4IP"
"2651","RBMS3-AS2"
"2652","MUSK"
"2653","NFE2L2"
"2654","AC112493.1"
"2655","PRKY"
"2656","LINC02853"
"2657","ANK1"
"2658","SDHAF3"
"2659","GRM7-AS1"
"2660","NIPAL3"
"2661","LINC02672"
"2662","AL360178.1"
"2663","GAS1RR"
"2664","LINC01917"
"2665","AC083870.1"
"2666","TULP3"
"2667","WSCD1"
"2668","NEDD1"
"2669","CBLN4"
"2670","VIP"
"2671","DISP3"
"2672","CEP135"
"2673","CDYL2"
"2674","AL133395.1"
"2675","AL160272.1"
"2676","HIST1H2BG"
"2677","AC087664.1"
"2678","DERA"
"2679","XYLT1"
"2680","BORA"
"2681","NCKAP1L"
"2682","PDSS2"
"2683","POLR3G"
"2684","FGF2"
"2685","AL359081.1"
"2686","FSIP1"
"2687","IQCH"
"2688","PTPRQ"
"2689","AL354696.2"
"2690","CD93"
"2691","SMC2"
"2692","PHYHIPL"
"2693","TPD52"
"2694","FBN1"
"2695","AC027288.3"
"2696","AC138305.1"
"2697","PDLIM1"
"2698","AC016650.1"
"2699","AL713851.1"
"2700","AC017101.1"
"2701","FHAD1"
"2702","AC009126.1"
"2703","ARHGAP22"
"2704","WDFY3-AS2"
"2705","LINC01378"
"2706","AC079921.1"
"2707","RGMA"
"2708","CDK15"
"2709","UBE3D"
"2710","RCAN1"
"2711","CALD1"
"2712","PPEF1"
"2713","HLF"
"2714","SHOC1"
"2715","CSF1R"
"2716","DNAI1"
"2717","WASF3"
"2718","CATSPERE"
"2719","SERPINI1"
"2720","BAZ2B"
"2721","MRC2"
"2722","NFKB1"
"2723","MCF2"
"2724","OVCH1"
"2725","SMOC2"
"2726","MGAT4A"
"2727","AK7"
"2728","AC027097.2"
"2729","IFI16"
"2730","COL13A1"
"2731","MCTP2"
"2732","ZGRF1"
"2733","NEUROD4"
"2734","KIF6"
"2735","SILC1"
"2736","ABCB5"
"2737","AL162253.2"
"2738","ZNF16"
"2739","LINC01937"
"2740","CHEK2"
"2741","STK39"
"2742","AC109441.1"
"2743","ATP2C2"
"2744","LINC00871"
"2745","RIMS1"
"2746","ERICH3"
"2747","PLEK"
"2748","NUP210L"
"2749","AL138999.2"
"2750","C16orf74"
"2751","C12orf40"
"2752","AC068875.1"
"2753","LPL"
"2754","CA13"
"2755","HIST2H2AC"
"2756","PCDH19"
"2757","TIPIN"
"2758","LCORL"
"2759","HIVEP2"
"2760","AC092939.1"
"2761","SCLT1"
"2762","ENPP3"
"2763","LHX6"
"2764","AC005165.1"
"2765","TMOD1"
"2766","SSTR2"
"2767","FANCD2"
"2768","ANKRD6"
"2769","TES"
"2770","CA2"
"2771","LINC02798"
"2772","RBMS2"
"2773","OTUD7B"
"2774","ZDHHC14"
"2775","PUDP"
"2776","SFXN5"
"2777","VWA3B"
"2778","AL132633.1"
"2779","AC090115.1"
"2780","AL353660.1"
"2781","FAM133A"
"2782","KCTD1"
"2783","FGD3"
"2784","SGPP1"
"2785","FANCM"
"2786","MCF2L2"
"2787","FBXO17"
"2788","AC003988.1"
"2789","ST3GAL6"
"2790","TTC8"
"2791","CUBN"
"2792","NECTIN3"
"2793","CCND3"
"2794","PRKX"
"2795","AL357873.1"
"2796","SPAG17"
"2797","KLRG1"
"2798","HPGD"
"2799","PPM1E"
"2800","RNASEH2B"
"2801","AC095032.1"
"2802","MAMDC2-AS1"
"2803","CKS2"
"2804","LINC02742"
"2805","AC012668.3"
"2806","S100A11"
"2807","FAAH2"
"2808","AL121999.1"
"2809","PPP1R16B"
"2810","LINC00534"
"2811","PPCDC"
"2812","MIR3681HG"
"2813","BAZ1A"
"2814","AC021723.2"
"2815","AL137017.1"
"2816","GADD45G"
"2817","WNT16"
"2818","GOLPH3L"
"2819","DNAH5"
"2820","SLC24A4"
"2821","GRIP2"
"2822","AC079052.1"
"2823","AC009061.2"
"2824","AC097662.1"
"2825","PARP4"
"2826","DCDC2C"
"2827","ACVR1"
"2828","FGFR1"
"2829","DNA2"
"2830","AP000317.1"
"2831","LINC01033"
"2832","LRP4-AS1"
"2833","AC079848.2"
"2834","COL28A1"
"2835","SLC22A15"
"2836","GARNL3"
"2837","ESR2"
"2838","LINC01931"
"2839","AC106791.1"
"2840","MTERF1"
"2841","FLG-AS1"
"2842","LINC00850"
"2843","SPRED1"
"2844","GPRIN3"
"2845","CDCA7L"
"2846","FGD6"
"2847","AC074286.1"
"2848","AL096794.1"
"2849","APBB2"
"2850","ABCA1"
"2851","LINC02343"
"2852","LPAR6"
"2853","KIAA1324L"
"2854","TICRR"
"2855","TMCC3"
"2856","SFMBT1"
"2857","Z94721.1"
"2858","AC093157.1"
"2859","AC006041.2"
"2860","RCAN3"
"2861","AC003666.1"
"2862","UMAD1"
"2863","AC012494.1"
"2864","AC139769.2"
"2865","EFCAB1"
"2866","LINC00616"
"2867","NPHP1"
"2868","CCDC196"
"2869","ILDR2"
"2870","AC025508.1"
"2871","AC011029.1"
"2872","VSTM2L"
"2873","AC092535.4"
"2874","SLC10A7"
"2875","OSTM1-AS1"
"2876","CD4"
"2877","CD109"
"2878","CCDC15"
"2879","KIF20A"
"2880","AC092652.2"
"2881","WDR64"
"2882","ZNRF3"
"2883","STAT3"
"2884","ABCB4"
"2885","AC005162.3"
"2886","AL359644.1"
"2887","TEK"
"2888","SCML2"
"2889","AC067956.1"
"2890","NCEH1"
"2891","FAR2"
"2892","AFG1L"
"2893","MGME1"
"2894","TMIGD3"
"2895","AL591135.2"
"2896","CYP3A43"
"2897","AL162414.1"
"2898","FOLR2"
"2899","AL138694.1"
"2900","AL355916.1"
"2901","PCAT19"
"2902","AP001605.1"
"2903","GGT5"
"2904","EVA1B"
"2905","AL359220.1"
"2906","AGT"
"2907","PEX7"
"2908","EPCAM-DT"
"2909","REEP3"
"2910","AL121749.2"
"2911","CELF2-DT"
"2912","NEFL"
"2913","CSRP2"
"2914","WNT7B"
"2915","AC079148.2"
"2916","TESC"
"2917","IDH2-DT"
"2918","AL136962.1"
"2919","TRERF1"
"2920","AC007846.1"
"2921","DNAJC24"
"2922","SLC35G1"
"2923","AC090376.1"
"2924","RASGRF1"
"2925","AC010894.3"
"2926","DLX6"
"2927","MXD3"
"2928","TDRD3"
"2929","MAP3K20-AS1"
"2930","FAM20A"
"2931","SLC9B1"
"2932","ACSM6"
"2933","PIGK"
"2934","LIN52"
"2935","EGLN3"
"2936","CALB1"
"2937","SLITRK5"
"2938","ATP2B4"
"2939","GLIPR1L2"
"2940","CYP20A1"
"2941","DENND2A"
"2942","LAMC1"
"2943","FUT8"
"2944","TMPRSS11A"
"2945","LINC02058"
"2946","AC007614.1"
"2947","CHST3"
"2948","FAM13A"
"2949","TJP1"
"2950","EEF1AKMT1"
"2951","PTK7"
"2952","AL589935.1"
"2953","PLA2R1"
"2954","CFAP69"
"2955","CDR2"
"2956","AC092844.1"
"2957","UTY"
"2958","NIPAL1"
"2959","HIST1H2BJ"
"2960","AL445123.2"
"2961","JPH1"
"2962","AL162511.1"
"2963","SOX9-AS1"
"2964","ADRA1B"
"2965","TMEM164"
"2966","BHLHE41"
"2967","RTTN"
"2968","TCEA3"
"2969","GRIA1"
"2970","LINC02826"
"2971","AC099499.1"
"2972","GRB14"
"2973","DSE"
"2974","PRSS23"
"2975","HK2"
"2976","KIZ-AS1"
"2977","ZSCAN5A"
"2978","VIPR2"
"2979","AL139815.1"
"2980","NEUROG1"
"2981","PLS1"
"2982","MSH5"
"2983","POLE2"
"2984","CCDC173"
"2985","AC079465.1"
"2986","AC019131.1"
"2987","ENPP6"
"2988","MNS1"
"2989","TAF3"
"2990","SLC9C2"
"2991","AC073941.1"
"2992","TTC26"
"2993","TTC23L"
"2994","MAP4K3-DT"
"2995","RNF217"
"2996","PCBD2"
"2997","AP3B1"
"2998","BCKDHB"
"2999","SLC16A1-AS1"
"3000","AC073569.2"
